TITLE,PRICE,LOCATION,URL,BEDROOMS,BATHROOMS,SQUARE FEET,TYPE,PARKING INFO,PET FRIENDLY,ADDRESS,SOURCE
Luxury Condo in DT Toronto for Rent,3600,"Yorkville, Toronto",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/luxury-condo-in-dt-toronto-for-rent/1728950852,2,2,900 sqft,Condo,1,Yes,"Davenport Road, Toronto, ON",Kijiji
Basement Apartment for Rent with Parking,1500,"Downtown, Mississauga / Peel Region",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/basement-apartment-for-rent-with-parking/1728950851,1.5,1,800 sqft,Basement,1,Yes,"18 Wellington St W, Brampton, ON L6Y 1K5",Kijiji
Appartement à louer gatineau 2 chambres,1700,"Du Plateau, Gatineau",https://www.kijiji.ca/v-apartments-condos/gatineau/appartement-a-louer-gatineau-2-chambres/1728950850,2,1,1250 sqft,Apartment,1,N/A,"Gatineau, QC J9J 4A6",Kijiji
House for rent,1000,"Westridge, Edmonton",https://www.kijiji.ca/v-apartments-condos/edmonton/house-for-rent/1728950837,2,1,1200 sqft,House,2,Yes,"Edmonton, AB, T5T1C4",Kijiji
super quiet clean furnished room For rent Brampton,730,"Northwood Park, Mississauga / Peel Region",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/super-quiet-clean-furnished-room-for-rent-brampton/1728950827,1,1,1200 sqft,House,1,N/A,"8 Leneck Ave, Brampton, ON L6X 2A7",Kijiji
LARGE FURNISHED RENOVATED BACHELOR in BASEMENT-SEPARATE KITCHEN,950,"Bathurst Manor, North York",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/large-furnished-renovated-bachelor-in-basement-separate-kitchen/1728950787,0,1,600 sqft,Basement,0,N/A,"North York, ON M3H 4V8",Kijiji
2 BEDROOM T/H IN SW BARRIE--NEWLY RENOVATED--INCREDIBLE VALUE,2195,"Barrie, Barrie",https://www.kijiji.ca/v-apartments-condos/barrie/2-bedroom-t-h-in-sw-barrie-newly-renovated-incredible-value/1728190215,2,1,980 sqft,Townhouse,2,Yes,"8 Black Cherry Crescent, Barrie, ON, L4N 9L3",Kijiji
3 BEDROOM T/H--AWESOME HOME FOR AWESOME PRICE--SW BARRIE,2395,"Barrie, Barrie",https://www.kijiji.ca/v-apartments-condos/barrie/3-bedroom-t-h-awesome-home-for-awesome-price-sw-barrie/1728210388,3,2,1278 sqft,Townhouse,2,Yes,"8 Black Cherry Crescent, Barrie, ON, L4N 9L3",Kijiji
One bedroom suite for rent in Rosscarrock.,1200,"Rosscarrock, Calgary",https://www.kijiji.ca/v-apartments-condos/calgary/one-bedroom-suite-for-rent-in-rosscarrock/1728950753,1,1,950 sqft,Basement,1,Yes,"4223 7 Ave SW, Calgary, AB T3C 0E3",Kijiji
À LOUER 2 ½ meublé et équipé Plateau-Mont-Royal,1390,"De Lorimier, Montréal",https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/a-louer-2-meuble-et-equipe-plateau-mont-royal/1722677622,0,1,338 sqft,Condo,0,N/A,"Montréal, QC H2K 3X5",Kijiji
1 BED 1 BATH APARTMENT,1499,"Corman, Hamilton",https://www.kijiji.ca/v-apartments-condos/hamilton/1-bed-1-bath-apartment/1727958355,1,1,650 sqft,Apartment,0,Yes,"132 Gailmont Drive, Hamilton, ON",Kijiji
Fully Furnished Executive 5 bedrooms with walkout basement house,3950,"Diamond Cove, Calgary",https://www.kijiji.ca/v-apartments-condos/calgary/fully-furnished-executive-5-bedrooms-with-walkout-basement-house/1726610208,5,3.5,3300 sqft,House,3,N/A,"Diamond Dr SE, Calgary, AB",Kijiji
Superbe bungalow à louer au quartier cheval blanc à Gatineau,3200,"Rivière-Blanche, Gatineau",https://www.kijiji.ca/v-apartments-condos/gatineau/superbe-bungalow-a-louer-au-quartier-cheval-blanc-a-gatineau/1728772064,2,2,7459 sqft,House,1,N/A,"Rue des Frères-Vachon, Gatineau, QC",Kijiji
2 bedroom Apartment,1800,"Sudbury, Sudbury",https://www.kijiji.ca/v-apartments-condos/sudbury/2-bedroom-apartment/1728949963,2,1,850 sqft,Apartment,1,N/A,"131 Adie St, Greater Sudbury, ON P3C 2C9",Kijiji
Grand condo 2chambres à louer / Large 2-bedroom condo for rent,2300,"Des Explorateurs, Gatineau",https://www.kijiji.ca/v-apartments-condos/gatineau/grand-condo-2chambres-a-louer-large-2-bedroom-condo-for-rent/1728123715,1,1,950 sqft,Condo,1,N/A,"325 Boulevard Wilfrid-Lavigne, Gatineau, QC",Kijiji
"Whitby, full house $2800, 3 bedroom 2 bath finished basement",2800,"Blue Grass Creek, Whitby",https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/whitby-full-house-2800-3-bedroom-2-bath-finished-basement/1728950686,2,3,1400 sqft,House,3,Yes,"Kirby Crescent, Whitby, ON",Kijiji
1½ 2½ 3½ 4½ - NDG/COTE ST-LUC - Appartement a loué TOUT INCLUS,1075,City of Montréal,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/1-2-3-4-ndg-cote-st-luc-appartement-a-loue-tout-inclus/1525863879,0,1,N/A,Apartment,0,N/A,"6201 Sherbrooke Ouest, Notre-Dame-de-Grâce, QC, H4B 1M5",Kijiji
Spacious 3-Bedroom at 24 Elm,795,Kingston,https://www.kijiji.ca/v-apartments-condos/kingston-on/spacious-3-bedroom-at-24-elm/1718855085,3,1,N/A,Apartment,0,Yes,"24 Elm Street, Kingston, ON, K7L 0E7",Kijiji
New Concrete Building Downtown with Gym and FREE rent!,1620,Fredericton,https://www.kijiji.ca/v-apartments-condos/fredericton/new-concrete-building-downtown-with-gym-and-free-rent/1700766450,1,1,N/A,Apartment,1,Yes,"264 Rookwood Avenue, Fredericton, NB, E3B 1A3",Kijiji
"Studio, 1, 2, 3 Bedroom Suites Available Now!",2200,Tricities/Pitt/Maple,https://www.kijiji.ca/v-apartments-condos/tricities-pitt-maple/studio-1-2-3-bedroom-suites-available-now/1698547499,1,1,N/A,Apartment,0,Yes,"430 Westview Street, Coquitlam, BC, V3K 3W4",Kijiji
Great 2 Bedroom Apartment for Rent Minutes to Downtown Cambridge,1825,Cambridge,https://www.kijiji.ca/v-apartments-condos/cambridge/great-2-bedroom-apartment-for-rent-minutes-to-downtown-cambridge/1712572665,2,1,N/A,Apartment,0,N/A,"190 Cedar Street, Cambridge, ON, N1S 4T7",Kijiji
Très beau 3 ½ – Métro Cartier,1190,"Pont-Viau, Laval",https://www.kijiji.ca/v-apartments-condos/laval-rive-nord/tres-beau-3-metro-cartier/1726920291,1,1,600 sqft,Apartment,0,N/A,"Laval, QC H7G 3B2, Canada",Kijiji
"Joli condo meublé-tout inclus, all included, Petite Patrie",1450,"Étienne Desmarteaux, Montréal",https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/joli-condo-meuble-tout-inclus-all-included-petite-patrie/1728951245,1,1,550 sqft,Condo,0,N/A,"Montreal, QC H1Y 3C6",Kijiji
Studio Apartment for Rent - 55 Triller Ave,1658,Toronto,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/studio-apartment-for-rent-55-triller-ave/1727893044,0,1,419 sqft,Apartment,0,N/A,"55 Triller Ave, Toronto, ON, M6R 2H6",Kijiji
Newly Renovated Apartment! Located In West Broadway Area!,1150,"West Broadway, Winnipeg",https://www.kijiji.ca/v-apartments-condos/winnipeg/newly-renovated-apartment-located-in-west-broadway-area/1728951124,1,1,550 sqft,Apartment,1,N/A,"Winnipeg, MB R3C 1Z1",Kijiji
Webster Apartments - 2 Bedroom Apartment Apartment for Rent,1540,London,https://www.kijiji.ca/v-apartments-condos/london/webster-apartments-2-bedroom-apartment-apartment-for-rent/1728581182,2,1,N/A,Apartment,0,N/A,"1270 Webster Street, London, ON, N5V 3P3",Kijiji
Guestville Apartments - 2 Bedroom Apartment for Rent,2199,City of Toronto,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/guestville-apartments-2-bedroom-apartment-for-rent/1709974392,2,1,N/A,Apartment,0,N/A,"80 Guestville Avenue, Toronto, ON, M6N 4N3",Kijiji
O'Connor Apartments - 1 Bedroom Apartment for Rent,1640,East York,https://www.kijiji.ca/v-apartments-condos/markham-york-region/oconnor-apartments-1-bedroom-apartment-for-rent/1727893604,1,1,N/A,Apartment,0,Yes,"994 O'Connor Drive, East York, ON, M4B 2T3",Kijiji
Bold Street Apartments - 1 Bedroom Apartment for Rent,1299,Hamilton,https://www.kijiji.ca/v-apartments-condos/hamilton/bold-street-apartments-1-bedroom-apartment-for-rent/1710165977,1,1,N/A,Apartment,0,Yes,"125 Bold Street, Hamilton, ON, L8P 1T9",Kijiji
Crystal Heights Apartments - Renovated 1 Bedroom Apartment for R,1440,Sault Ste. Marie,https://www.kijiji.ca/v-apartments-condos/sault-ste-marie/crystal-heights-apartments-renovated-1-bedroom-apartment-for-r/1714722579,1,1,N/A,Apartment,0,Yes,"24 Clearview Drive, Sault Ste. Marie, ON, P6B 5Z6",Kijiji
Bathurst Apartments - 1 Bedroom Apartment for Rent,1800,Toronto,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bathurst-apartments-1-bedroom-apartment-for-rent/1726152535,1,1,N/A,Apartment,0,Yes,"3459 Bathurst Street, Toronto, ON, M6A 2C5",Kijiji
285 Melvin Apartments - 1 Bedroom Apartment for Rent,1440,Hamilton,https://www.kijiji.ca/v-apartments-condos/hamilton/285-melvin-apartments-1-bedroom-apartment-for-rent/1708206414,1,1,700 sqft,Apartment,0,Yes,"285 Melvin Ave, Hamilton, ON, L8H 2K4",Kijiji
3250 Keele Apartments - Bachelor with balcony Apartment for Rent,1649,City of Toronto,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/3250-keele-apartments-bachelor-with-balcony-apartment-for-rent/1727200931,0,1,N/A,Apartment,0,Yes,"3250 Keele Street, Toronto, ON, M3M 3C5",Kijiji
Dawes Apartments - Renovated 1 Bedroom Apartment for Rent,1640,East York,https://www.kijiji.ca/v-apartments-condos/markham-york-region/dawes-apartments-renovated-1-bedroom-apartment-for-rent/1722419336,1,1,750 sqft,Apartment,0,N/A,"508 Dawes Road, East York, ON, M4B 2G3",Kijiji
Frederick Apartments - 1 Bedroom Renovated Apartment for Rent,1699,Kitchener / Waterloo,https://www.kijiji.ca/v-apartments-condos/kitchener-waterloo/frederick-apartments-1-bedroom-renovated-apartment-for-rent/1709800880,1,1,N/A,Apartment,0,Yes,"250 Frederick Street, Kitchener, ON, N2H 2N1",Kijiji
195 Lindsay Street Apartments - Renovated 1 Bedroom Apartment fo,1499,Windsor Region,https://www.kijiji.ca/v-apartments-condos/windsor-area-on/195-lindsay-street-apartments-renovated-1-bedroom-apartment-fo/1708620882,1,1,N/A,Apartment,0,N/A,"195 Lindsay Street South, Lindsay, ON, N9V 2N2",Kijiji
375 Melvin Apartments - 2 Bedroom Apartment for Rent,1499,Hamilton,https://www.kijiji.ca/v-apartments-condos/hamilton/375-melvin-apartments-2-bedroom-apartment-for-rent/1722783318,2,1,N/A,Apartment,0,Yes,"375 Melvin Ave, Hamilton, ON, L8H 2K6",Kijiji
Webster Apartments - Renovated 1 bedroom Apartment for Rent,1440,London,https://www.kijiji.ca/v-apartments-condos/london/webster-apartments-renovated-1-bedroom-apartment-for-rent/1708209684,1,1,800 sqft,Apartment,0,N/A,"1270 Webster Street, London, ON, N5V 3P3",Kijiji
Webster Apartments - Renovated 2 Bedroom Apartment for Rent,1640,"Huron Heights, London",https://www.kijiji.ca/v-apartments-condos/london/webster-apartments-renovated-2-bedroom-apartment-for-rent/1728114325,2,1,1050 sqft,Apartment,0,N/A,"1270 Webster Street, London, ON, N5V 3P3",Kijiji
Melvin Apartments - Renovated 1 Bedroom Apartment for Rent,1440,Hamilton,https://www.kijiji.ca/v-apartments-condos/hamilton/melvin-apartments-renovated-1-bedroom-apartment-for-rent/1726513097,1,1,N/A,Apartment,0,Yes,"221 Melvin Avenue, Hamilton, ON, L8H 2K1",Kijiji
Stoneglen Townhouses - 3 Bedroom with Garage House for Rent,2740,Guelph,https://www.kijiji.ca/v-apartments-condos/guelph/stoneglen-townhouses-3-bedroom-with-garage-house-for-rent/1720641177,3,2,1500 sqft,House,0,Yes,"414 Stone Road, Guelph, ON, N1G 3E1",Kijiji
Torbolton Townhouse - 3 Bedroom 2 Bathroom Townhouse House for R,2799,Toronto,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/torbolton-townhouse-3-bedroom-2-bathroom-townhouse-house-for-r/1716984267,3.5,2,N/A,House,0,N/A,"2 Torbolton Drive, Toronto, ON, M9W 3Y2",Kijiji
Melvin Apartments - Renovated 3 Bedroom Apartment for Rent,2099,Hamilton,https://www.kijiji.ca/v-apartments-condos/hamilton/melvin-apartments-renovated-3-bedroom-apartment-for-rent/1727804158,3,1,N/A,Apartment,0,Yes,"221 Melvin Avenue, Hamilton, ON, L8H 2K1",Kijiji
Melvin Apartments - 2 Bedroom Apartment for Rent,1540,Hamilton,https://www.kijiji.ca/v-apartments-condos/hamilton/melvin-apartments-2-bedroom-apartment-for-rent/1726567484,2,1,650 sqft,Apartment,1,Yes,"221 Melvin Avenue, Hamilton, ON, L8H 2K1",Kijiji
Owen Apartments - Bachelor Apartment for Rent,1499,Muskoka,https://www.kijiji.ca/v-apartments-condos/muskoka/owen-apartments-bachelor-apartment-for-rent/1726567486,0,1,400 sqft,Apartment,0,Yes,"51 owen street, Penetanguishene, ON, L9M 1N4",Kijiji
Melvin Apartments - Renovated 2 Bedroom Apartment for Rent,1599,Hamilton,https://www.kijiji.ca/v-apartments-condos/hamilton/melvin-apartments-renovated-2-bedroom-apartment-for-rent/1708206512,2,1,N/A,Apartment,0,Yes,"221 Melvin Avenue, Hamilton, ON, L8H 2K1",Kijiji
Frederick Apartments - 2 Bedroom Renovated Apartment for Rent,1999,Kitchener,https://www.kijiji.ca/v-apartments-condos/kitchener-waterloo/frederick-apartments-2-bedroom-renovated-apartment-for-rent/1711280922,2,1,N/A,Apartment,0,Yes,"250 Frederick Street, Kitchener, ON, N2H 2N1",Kijiji
Grange Apartments - Renovated 2 Bedroom Apartment for Rent,2199,Toronto,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/grange-apartments-renovated-2-bedroom-apartment-for-rent/1720703644,2,1,N/A,Apartment,0,Yes,"168 Grange Avenue, Toronto, ON, M5T 1E3",Kijiji
Guestville Apartments - 1 Bedroom Apartment for Rent,1799,Toronto,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/guestville-apartments-1-bedroom-apartment-for-rent/1712253901,1,1,N/A,Apartment,0,N/A,"80 Guestville Avenue, Toronto, ON, M6N 4N3",Kijiji
Brant Apartments - Renovated 2 bedroom Apartment for Rent,2099,Guelph,https://www.kijiji.ca/v-apartments-condos/guelph/brant-apartments-renovated-2-bedroom-apartment-for-rent/1714341364,2,1,1200 sqft,Apartment,0,Yes,"8 Brant Ave, Guelph, ON, N1E 1E7",Kijiji
Bold Street Apartments - Bachelor Apartment for Rent,1125,"Durand, Hamilton",https://www.kijiji.ca/v-apartments-condos/hamilton/bold-street-apartments-bachelor-apartment-for-rent/1728260111,0,1,N/A,Apartment,0,Yes,"125 Bold Street, Hamilton, ON, L8P 1T9",Kijiji
3250 Keele Apartments - Renovated 1 Bedroom Apartment for Rent,1799,Toronto,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/3250-keele-apartments-renovated-1-bedroom-apartment-for-rent/1716060797,1,1,750 sqft,Apartment,0,Yes,"3250 Keele Street, Toronto, ON, M3M 3C5",Kijiji
2 Beds 1 Bath Suite (Burnaby Highgate),2332,"Edmonds-Highgate Village, Burnaby",https://www.kijiji.ca/v-apartments-condos/burnaby-new-westminster/2-beds-1-bath-suite-burnaby-highgate/1728951087,2,1,830 sqft,Apartment,0,N/A,"7111 Salisbury Avenue, Burnaby, BC",Kijiji
3 bedroom house for rent in Pickering,2800,"Bay Ridges, Oshawa / Durham Region",https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/3-bedroom-house-for-rent-in-pickering/1728951086,3,1,1800 sqft,House,2,Yes,"Pickering, ON, L1W 1S5",Kijiji
4 1/2 À LOUER LAVAL (VIMONT)-,1575,Laval,https://www.kijiji.ca/v-apartments-condos/laval-rive-nord/4-1-2-a-louer-laval-vimont/1720485980,2,1,N/A,Apartment,0,N/A,"22 Saint-Elzéar Ouest, Laval, QC, H7M 1E2",Kijiji
"5 1/2 À LOUER ST-HUBERT - BLOC TRANQUILLE, PROPRE, PISCINE",1600,Longueuil / South Shore,https://www.kijiji.ca/v-apartments-condos/longueuil-rive-sud/5-1-2-a-louer-st-hubert-bloc-tranquille-propre-piscine/1727187644,3,1,N/A,Apartment,0,N/A,"2640 rue Quévillon, St-Hubert, QC, J3Y 6K2",Kijiji
4 1/2 À LOUER BOISBRIAND - RÉNOVÉ ET PROPRE,1500,Boisbriand,https://www.kijiji.ca/v-apartments-condos/laval-rive-nord/4-1-2-a-louer-boisbriand-renove-et-propre/1713013878,2,1,N/A,Apartment,0,N/A,"234 rue Pierrefontaine, Boisbriand, QC, J7G 1Y4",Kijiji
"APPARTEMENT 2 1/2 À LOUER MONTRÉAL - RÉNOVÉ, CHAUFFÉ",1150,Montréal,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/appartement-2-1-2-a-louer-montreal-renove-chauffe/1718753379,0,1,N/A,Apartment,0,N/A,"1020 rue de Salaberry, Montréal, QC, H3L 1L3",Kijiji
4 1/2 À LOUER LAVAL (VIMONT)-,1700,Laval,https://www.kijiji.ca/v-apartments-condos/laval-rive-nord/4-1-2-a-louer-laval-vimont/1726251532,2,1,N/A,Apartment,0,N/A,"22 Saint-Elzéar Ouest, Laval, QC, H7M 1E2",Kijiji
"4 1/2 À LOUER BOUCHERVILLE - BLOC BÉTON, ACENSEUR, TOUT INCLUS",1550,Boucherville,https://www.kijiji.ca/v-apartments-condos/longueuil-rive-sud/4-1-2-a-louer-boucherville-bloc-beton-acenseur-tout-inclus/1718539775,2,1,N/A,Apartment,0,N/A,"453 Rue Darontal, Boucherville, QC, J4B 6J4",Kijiji
"4 1/2 À LOUER LAVAL - BLOC BÉTON, ASCENSEUR, BORD DE L'EAU",1700,Laval,https://www.kijiji.ca/v-apartments-condos/laval-rive-nord/4-1-2-a-louer-laval-bloc-beton-ascenseur-bord-de-leau/1726132908,2,1,N/A,Apartment,0,N/A,"1750 boul. Lévesque est, Laval, QC, H7G 4S1",Kijiji
"APPARTEMENT (3 1/2) MONTRÉAL - RENOVÉ, CHAUFFÉ",1350,City of Montréal,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/appartement-3-1-2-montreal-renove-chauffe/1714257686,1,1,N/A,Apartment,0,N/A,"1020 rue de Salaberry, Montréal, QC, H3L 1L3",Kijiji
